ID,Age_cal,Precision
8478,38258,288
8556,38258,288
8632,38258,288
8633,38258,288
9019,38258,288
16,37666,2574
42,37666,2574
43,37666,2574
197,37666,2574
198,37666,2574
778,37666,2574
779,37666,2574
853,37666,2574
932,37666,2574
1045,37666,2574
1225,37666,2574
3612,37666,2574
3613,37666,2574
3950,37666,2574
3951,37666,2574
3972,37666,2574
4295,37666,2574
4463,37666,2574
4713,37666,2574
4861,37666,2574
5130,37666,2574
5131,37666,2574
5347,37666,2574
5348,37666,2574
5389,37666,2574
5390,37666,2574
5734,37666,2574
5735,37666,2574
5919,37666,2574
5920,37666,2574
5962,37666,2574
5963,37666,2574
6004,37666,2574
6251,37666,2574
6411,37666,2574
6412,37666,2574
6541,37666,2574
7572,37666,2574
7884,37666,2574
7950,37666,2574
7951,37666,2574
8000,37666,2574
8236,37666,2574
8329,37666,2574
8475,37666,2574
8476,37666,2574
8555,37666,2574
8630,37666,2574
8631,37666,2574
9018,37666,2574
15,32355,1109
41,32355,1109
195,32355,1109
777,32355,1109
930,32355,1109
3610,32355,1109
3981,32355,1109
5387,32355,1109
5573,32355,1109
6003,32355,1109
6410,32355,1109
7948,32355,1109
8629,32355,1109
14,31113,1222
40,31113,1222
194,31113,1222
776,31113,1222
929,31113,1222
3609,31113,1222
3980,31113,1222
5386,31113,1222
5571,31113,1222
6002,31113,1222
6409,31113,1222
7947,31113,1222
8628,31113,1222
13,28301,1519
37,28301,1519
193,28301,1519
775,28301,1519
928,28301,1519
3608,28301,1519
3979,28301,1519
5385,28301,1519
5570,28301,1519
6001,28301,1519
6408,28301,1519
7946,28301,1519
8627,28301,1519
12,26020,2064
36,26020,2064
192,26020,2064
774,26020,2064
927,26020,2064
3606,26020,2064
3978,26020,2064
5383,26020,2064
5569,26020,2064
6000,26020,2064
6407,26020,2064
7945,26020,2064
8626,26020,2064
35,17359,950
191,17359,950
773,17359,950
926,17359,950
950,17359,950
1192,17359,950
3600,17359,950
3971,17359,950
3977,17359,950
3986,17359,950
4079,17359,950
4257,17359,950
4846,17359,950
5345,17359,950
5380,17359,950
5567,17359,950
5732,17359,950
5960,17359,950
6243,17359,950
6406,17359,950
6621,17359,950
6852,17359,950
7944,17359,950
8220,17359,950
8317,17359,950
8471,17359,950
8550,17359,950
8921,17359,950
8961,17359,950
190,14270,1094
576,14270,1094
772,14270,1094
925,14270,1094
3453,14270,1094
3598,14270,1094
3985,14270,1094
4692,14270,1094
5343,14270,1094
5378,14270,1094
5565,14270,1094
5731,14270,1094
5959,14270,1094
6405,14270,1094
7943,14270,1094
34,3111,114
770,3111,114
771,3111,114
1032,3111,114
3591,3111,114
3592,3111,114
4249,3111,114
4838,3111,114
4839,3111,114
5341,3111,114
5342,3111,114
5375,3111,114
5376,3111,114
7883,3111,114
7941,3111,114
8468,3111,114
8622,3111,114
8623,3111,114
8959,3111,114
769,2652,120
852,2652,120
924,2652,120
4247,2652,120
4837,2652,120
5340,2652,120
5374,2652,120
7940,2652,120
8958,2652,120
186,422,159
663,422,159
921,422,159
3585,422,159
5101,422,159
5957,422,159
6765,422,159
7029,422,159
7151,422,159
7296,422,159
7407,422,159
7471,422,159
7540,422,159
7938,422,159
4379,26983,409
4376,18075,227
2045,46034,1618
9440,13736,122
3607,28101,2687
4275,28101,2687
4857,28101,2687
5384,28101,2687
7078,28101,2687
7086,28101,2687
7419,28101,2687
7632,28101,2687
7805,28101,2687
8264,28101,2687
3599,16576,499
4844,16576,499
5379,16576,499
